ISO3,Country,Country_edit,lc_group,who_region,hdi_level,,,,,,,,
AFG,Afghanistan,Afghanistan,Asia,Eastern Mediterranean,Low,,,,,,,,
ALB,Albania,Albania,Europe,Europe,High,,,,,,,,
DZA,Algeria,Algeria,Africa,Africa,High,,,,,,,,
AND,Andorra,Andorra,Europe,Europe,Very High,,,,,,,,
AGO,Angola,Angola,Africa,Africa,Medium,,,,,,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,SIDS,Americas,High,,,,,,,,
ARG,Argentina,Argentina,South and Central America,Americas,Very High,,,,,,,,
ARM,Armenia,Armenia,Asia,Europe,High,,,,,,,,
AUS,Australia,Australia,Oceania,Western Pacific,Very High,,,,,,,,
AUT,Austria,Austria,Europe,Europe,Very High,,,,,,,,
AZE,Azerbaijan,Azerbaijan,Asia,Europe,High,,,,,,,,
BHS,Bahamas,Bahamas,SIDS,Americas,Very High,,,,,,,,
BHR,Bahrain,Bahrain,Asia,Eastern Mediterranean,Very High,,,,,,,,
BGD,Bangladesh,Bangladesh,Asia,South-East Asia,Medium,,,,,,,,
BRB,Barbados,Barbados,SIDS,Americas,High,,,,,,,,
BLR,Belarus,Belarus,Europe,Europe,Very High,,,,,,,,
BEL,Belgium,Belgium,Europe,Europe,Very High,,,,,,,,
BLZ,Belize,Belize,SIDS,Americas,Medium,,,,,,,,
BEN,Benin,Benin,Africa,Africa,Low,,,,,,,,
BTN,Bhutan,Bhutan,Asia,South-East Asia,Medium,,,,,,,,
VEN,Bolivarian Republic of Venezuela,Bolivarian Republic of Venezuela,South and Central America,Americas,Medium,,,,,,,,
BOL,Bolivia,Bolivia,South and Central America,Americas,Medium,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Europe,High,,,,,,,,
BWA,Botswana,Botswana,Africa,Africa,Medium,,,,,,,,
BRA,Brazil,Brazil,South and Central America,Americas,High,,,,,,,,
BRN,Brunei Darussalam,Brunei,Asia,Western Pacific,Very High,,,,,,,,
BGR,Bulgaria,Bulgaria,Europe,Europe,High,,,,,,,,
BFA,Burkina Faso,Burkina Faso,Africa,Africa,Low,,,,,,,,
BDI,Burundi,Burundi,Africa,Africa,Low,,,,,,,,
CPV,Cabo Verde,Cape Verde,SIDS,Africa,Medium,,,,,,,,
KHM,Cambodia,Cambodia,Asia,Western Pacific,Medium,,,,,,,,
CMR,Cameroon,Cameroon,Africa,Africa,Medium,,,,,,,,
CAN,Canada,Canada,Northern America,Americas,Very High,,,,,,,,
CAF,Central African Republic,Central African Republic,Africa,Africa,Low,,,,,,,,
TCD,Chad,Chad,Africa,Africa,Low,,,,,,,,
CHL,Chile,Chile,South and Central America,Americas,Very High,,,,,,,,
CHN,China,China,Asia,Western Pacific,High,,,,,,,,
COL,Colombia,Colombia,South and Central America,Americas,High,,,,,,,,
COM,Comoros,Comoros,SIDS,Africa,Medium,,,,,,,,
COG,Congo,Republic of the Congo,Africa,Africa,Medium,,,,,,,,
COK,Cook Islands,Cook Islands,SIDS,Western Pacific,N/A,,,,,,,,
CRI,Costa Rica,Costa Rica,South and Central America,Americas,Very High,,,,,,,,
CIV,Cote d'Ivoire,Cote d'Ivoire,Africa,Africa,Medium,,,,,,,,
HRV,Croatia,Croatia,Europe,Europe,Very High,,,,,,,,
CUB,Cuba,Cuba,SIDS,Americas,High,,,,,,,,
CYP,Cyprus,Cyprus,Asia,Europe,Very High,,,,,,,,
CZE,Czechia,Czech Republic,Europe,Europe,Very High,,,,,,,,
PRK,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Asia,South-East Asia,N/A,,,,,,,,
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,Africa,Low,,,,,,,,
DNK,Denmark,Denmark,Europe,Europe,Very High,,,,,,,,
DJI,Djibouti,Djibouti,Africa,Eastern Mediterranean,Low,,,,,,,,
DMA,Dominica,Dominica,SIDS,Americas,High,,,,,,,,
DOM,Dominican Republic,Dominican Republic,SIDS,Americas,High,,,,,,,,
ECU,Ecuador,Ecuador,South and Central America,Americas,High,,,,,,,,
EGY,Egypt,Egypt,Africa,Eastern Mediterranean,High,,,,,,,,
SLV,El Salvador,El Salvador,South and Central America,Americas,Medium,,,,,,,,
GNQ,Equatorial Guinea,Equatorial Guinea,Africa,Africa,Medium,,,,,,,,
ERI,Eritrea,Eritrea,Africa,Africa,Low,,,,,,,,
EST,Estonia,Estonia,Europe,Europe,Very High,,,,,,,,
SWZ,Eswatini,Eswatini,Africa,Africa,Medium,,,,,,,,
ETH,Ethiopia,Ethiopia,Africa,Africa,Low,,,,,,,,
FSM,Federated States of Micronesia,Federated States of Micronesia,SIDS,Western Pacific,Medium,,,,,,,,
FJI,Fiji,Fiji,SIDS,Western Pacific,High,,,,,,,,
FIN,Finland,Finland,Europe,Europe,Very High,,,,,,,,
FRA,France,France,Europe,Europe,Very High,,,,,,,,
GAB,Gabon,Gabon,Africa,Africa,High,,,,,,,,
GMB,Gambia,Gambia,Africa,Africa,Low,,,,,,,,
GEO,Georgia,Georgia,Asia,Europe,Very High,,,,,,,,
DEU,Germany,Germany,Europe,Europe,Very High,,,,,,,,
GHA,Ghana,Ghana,Africa,Africa,Medium,,,,,,,,
GRC,Greece,Greece,Europe,Europe,Very High,,,,,,,,
GRD,Grenada,Grenada,SIDS,Americas,High,,,,,,,,
GTM,Guatemala,Guatemala,South and Central America,Americas,Medium,,,,,,,,
GIN,Guinea,Guinea,Africa,Africa,Low,,,,,,,,
GNB,Guinea Bissau,Guinea-Bissau,SIDS,Africa,Low,,,,,,,,
GUY,Guyana,Guyana,SIDS,Americas,High,,,,,,,,
HTI,Haiti,Haiti,SIDS,Americas,Low,,,,,,,,
HND,Honduras,Honduras,South and Central America,Americas,Medium,,,,,,,,
HUN,Hungary,Hungary,Europe,Europe,Very High,,,,,,,,
ISL,Iceland,Iceland,Europe,Europe,Very High,,,,,,,,
IND,India,India,Asia,South-East Asia,Medium,,,,,,,,
IDN,Indonesia,Indonesia,Asia,South-East Asia,High,,,,,,,,
IRQ,Iraq,Iraq,Asia,Eastern Mediterranean,Medium,,,,,,,,
IRL,Ireland,Ireland,Europe,Europe,Very High,,,,,,,,
IRN,Islamic Republic of Iran,Iran,Asia,Eastern Mediterranean,High,,,,,,,,
ISR,Israel,Israel,Asia,Europe,Very High,,,,,,,,
ITA,Italy,Italy,Europe,Europe,Very High,,,,,,,,
JAM,Jamaica,Jamaica,SIDS,Americas,High,,,,,,,,
JPN,Japan,Japan,Asia,Western Pacific,Very High,,,,,,,,
JOR,Jordan,Jordan,Asia,Eastern Mediterranean,High,,,,,,,,
KAZ,Kazakhstan,Kazakhstan,Asia,Europe,Very High,,,,,,,,
KEN,Kenya,Kenya,Africa,Africa,Medium,,,,,,,,
KIR,Kiribati,Kiribati,SIDS,Western Pacific,Medium,,,,,,,,
KWT,Kuwait,Kuwait,Asia,Eastern Mediterranean,Very High,,,,,,,,
KGZ,Kyrgyzstan,Kyrgyzstan,Asia,Europe,Medium,,,,,,,,
LAO,Lao People's Democratic Republic,Laos,Asia,Western Pacific,Medium,,,,,,,,
LVA,Latvia,Latvia,Europe,Europe,Very High,,,,,,,,
LBN,Lebanon,Lebanon,Asia,Eastern Mediterranean,High,,,,,,,,
LSO,Lesotho,Lesotho,Africa,Africa,Low,,,,,,,,
LBR,Liberia,Liberia,Africa,Africa,Low,,,,,,,,
LBY,Libya,Libya,Africa,Eastern Mediterranean,High,,,,,,,,
LIE,Liechtenstein,Liechtenstein,Europe,N/A,Very High,,,,,,,,
LTU,Lithuania,Lithuania,Europe,Europe,Very High,,,,,,,,
LUX,Luxembourg,Luxembourg,Europe,Europe,Very High,,,,,,,,
MDG,Madagascar,Madagascar,Africa,Africa,Low,,,,,,,,
MWI,Malawi,Malawi,Africa,Africa,Low,,,,,,,,
MYS,Malaysia,Malaysia,Asia,Western Pacific,Very High,,,,,,,,
MDV,Maldives,Maldives,SIDS,South-East Asia,High,,,,,,,,
MLI,Mali,Mali,Africa,Africa,Low,,,,,,,,
MLT,Malta,Malta,Europe,Europe,Very High,,,,,,,,
MHL,Marshall Islands,Marshall Islands,SIDS,Western Pacific,Medium,,,,,,,,
MRT,Mauritania,Mauritania,Africa,Africa,Medium,,,,,,,,
MUS,Mauritius,Mauritius,SIDS,Africa,Very High,,,,,,,,
MEX,Mexico,Mexico,South and Central America,Americas,High,,,,,,,,
MCO,Monaco,Monaco,Europe,Europe,N/A,,,,,,,,
MNG,Mongolia,Mongolia,Asia,Western Pacific,High,,,,,,,,
MNE,Montenegro,Montenegro,Europe,Europe,Very High,,,,,,,,
MAR,Morocco,Morocco,Africa,Eastern Mediterranean,Medium,,,,,,,,
MOZ,Mozambique,Mozambique,Africa,Africa,Low,,,,,,,,
MMR,Myanmar,Myanmar,Asia,South-East Asia,Medium,,,,,,,,
NAM,Namibia,Namibia,Africa,Africa,Medium,,,,,,,,
NRU,Nauru,Nauru,SIDS,Western Pacific,N/A,,,,,,,,
NPL,Nepal,Nepal,Asia,South-East Asia,Medium,,,,,,,,
NLD,Netherlands,Netherlands,Europe,Europe,Very High,,,,,,,,
NZL,New Zealand,New Zealand,Oceania,Western Pacific,Very High,,,,,,,,
NIC,Nicaragua,Nicaragua,South and Central America,Americas,Medium,,,,,,,,
NER,Niger,Niger,Africa,Africa,Low,,,,,,,,
NGA,Nigeria,Nigeria,Africa,Africa,Low,,,,,,,,
NIU,Niue,Niue,SIDS,Western Pacific,N/A,,,,,,,,
MKD,North Macedonia,Macedonia,Europe,Europe,High,,,,,,,,
NOR,Norway,Norway,Europe,Europe,Very High,,,,,,,,
PSE,Occupied Palestinian territory,Occupied Palestinian territory,Asia,Eastern Mediterranean,High,,,,,,,,
OMN,Oman,Oman,Asia,Eastern Mediterranean,Very High,,,,,,,,
PAK,Pakistan,Pakistan,Asia,Eastern Mediterranean,Low,,,,,,,,
PLW,Palau,Palau,SIDS,Western Pacific,High,,,,,,,,
PAN,Panama,Panama,South and Central America,Americas,Very High,,,,,,,,
PNG,Papua New Guinea,Papua New Guinea,SIDS,Western Pacific,Medium,,,,,,,,
PRY,Paraguay,Paraguay,South and Central America,Americas,High,,,,,,,,
PER,Peru,Peru,South and Central America,Americas,High,,,,,,,,
PHL,Philippines,Philippines,Asia,Western Pacific,Medium,,,,,,,,
POL,Poland,Poland,Europe,Europe,Very High,,,,,,,,
PRT,Portugal,Portugal,Europe,Europe,Very High,,,,,,,,
QAT,Qatar,Qatar,Asia,Eastern Mediterranean,Very High,,,,,,,,
KOR,Republic of Korea,Republic of Korea,Asia,Western Pacific,Very High,,,,,,,,
MDA,Republic of Moldova,Moldova,Europe,Europe,High,,,,,,,,
ROU,Romania,Romania,Europe,Europe,Very High,,,,,,,,
RUS,Russian Federation,Russia,Europe,Europe,Very High,,,,,,,,
RWA,Rwanda,Rwanda,Africa,Africa,Low,,,,,,,,
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,SIDS,Americas,High,,,,,,,,
LCA,Saint Lucia,Saint Lucia,SIDS,Americas,High,,,,,,,,
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,SIDS,Americas,High,,,,,,,,
WSM,Samoa,Samoa,SIDS,Western Pacific,High,,,,,,,,
SMR,San Marino,San Marino,Europe,Europe,Very High,,,,,,,,
STP,Sao Tome and Principe,Sao Tome and Principe,SIDS,Africa,Medium,,,,,,,,
SAU,Saudi Arabia,Saudi Arabia,Asia,Eastern Mediterranean,Very High,,,,,,,,
SEN,Senegal,Senegal,Africa,Africa,Low,,,,,,,,
SRB,Serbia,Serbia,Europe,Europe,Very High,,,,,,,,
SYC,Seychelles,Seychelles,SIDS,Africa,High,,,,,,,,
SLE,Sierra Leone,Sierra Leone,Africa,Africa,Low,,,,,,,,
SGP,Singapore,Singapore,SIDS,Western Pacific,Very High,,,,,,,,
SVK,Slovakia,Slovakia,Europe,Europe,Very High,,,,,,,,
SVN,Slovenia,Slovenia,Europe,Europe,Very High,,,,,,,,
SLB,Solomon Islands,Solomon Islands,SIDS,Western Pacific,Medium,,,,,,,,
SOM,Somalia,Somalia,Africa,Eastern Mediterranean,N/A,,,,,,,,
ZAF,South Africa,South Africa,Africa,Africa,High,,,,,,,,
SSD,South Sudan,South Sudan,Africa,Africa,Low,,,,,,,,
ESP,Spain,Spain,Europe,Europe,Very High,,,,,,,,
LKA,Sri Lanka,Sri Lanka,Asia,South-East Asia,High,,,,,,,,
SDN,Sudan,Sudan,Africa,Eastern Mediterranean,Low,,,,,,,,
SUR,Suriname,Suriname,SIDS,Americas,High,,,,,,,,
SWE,Sweden,Sweden,Europe,Europe,Very High,,,,,,,,
CHE,Switzerland,Switzerland,Europe,Europe,Very High,,,,,,,,
SYR,Syrian Arab Republic,Syrian Arab Republic,Asia,Eastern Mediterranean,Medium,,,,,,,,
TJK,Tajikistan,Tajikistan,Asia,Europe,Medium,,,,,,,,
THA,Thailand,Thailand,Asia,South-East Asia,Very High,,,,,,,,
TLS,Timor-Leste,Timor-Leste,SIDS,South-East Asia,Medium,,,,,,,,
TGO,Togo,Togo,Africa,Africa,Low,,,,,,,,
TON,Tonga,Tonga,SIDS,Western Pacific,High,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,SIDS,Americas,Very High,,,,,,,,
TUN,Tunisia,Tunisia,Africa,Eastern Mediterranean,High,,,,,,,,
TUR,Turkey,Turkey,Asia,Europe,Very High,,,,,,,,
TKM,Turkmenistan,Turkmenistan,Asia,Europe,High,,,,,,,,
TUV,Tuvalu,Tuvalu,SIDS,Western Pacific,Medium,,,,,,,,
UGA,Uganda,Uganda,Africa,Africa,Low,,,,,,,,
UKR,Ukraine,Ukraine,Europe,Europe,High,,,,,,,,
ARE,United Arab Emirates,United Arab Emirates,Asia,Eastern Mediterranean,Very High,,,,,,,,
GBR,United Kingdom,United Kingdom,Europe,Europe,Very High,,,,,,,,
TZA,United Republic of Tanzania,Tanzania,Africa,Africa,Low,,,,,,,,
USA,United States of America,United States,Northern America,Americas,Very High,,,,,,,,
URY,Uruguay,Uruguay,South and Central America,Americas,Very High,,,,,,,,
UZB,Uzbekistan,Uzbekistan,Asia,Europe,High,,,,,,,,
VUT,Vanuatu,Vanuatu,SIDS,Western Pacific,Medium,,,,,,,,
VNM,Vietnam,Vietnam,Asia,Western Pacific,High,,,,,,,,
YEM,Yemen,Yemen,Asia,Eastern Mediterranean,Low,,,,,,,,
ZMB,Zambia,Zambia,Africa,Africa,Medium,,,,,,,,
ZWE,Zimbabwe,Zimbabwe,Africa,Africa,Medium,,,,,,,,
AIA,Anguilla,Anguilla,SIDS,Americas,N/A,,,,,,,,
VGB,British Virgin Islands,British Virgin Islands,SIDS,Americas,N/A,,,,,,,,
ABW,Aruba,Aruba,SIDS,Americas,N/A,,,,,,,,
BMU,Bermuda,Bermuda,SIDS,Americas,N/A,,,,,,,,
CYM,Cayman Islands,Cayman Islands,SIDS,Americas,N/A,,,,,,,,
VIR,US Virgin Islands,US Virgin Islands,SIDS,NA,NA,,,,,,,,
CUW,Curaçao,Curaçao,SIDS,Americas,N/A,,,,,,,,
GUF,French Guiana,French Guiana,South and Central America,Americas,N/A,,,,,,,,
GLP,Guadeloupe,Guadeloupe,SIDS,Americas,N/A,,,,,,,,
MTQ,Martinique,Martinique,SIDS,Americas,N/A,,,,,,,,
MSR,Montserrat,Montserrat,SIDS,Americas,N/A,,,,,,,,
NIU,Niue,Niue,SIDS,Western Pacific,N/A,,,,,,,,
PRI,Puerto Rico,Puerto Rico,SIDS,Americas,N/A,,,,,,,,
SXM,Sint Maarten,Sint Maarten,SIDS,Americas,N/A,,,,,,,,
TCA,Turks and Caicos,Turks and Caicos,SIDS,Americas,N/A,,,,,,,,
COK,Cook Islands,Cook Islands,SIDS,Western Pacific,N/A,,,,,,,,
ASM,American Samoa (USA),American Samoa (USA),SIDS,Western Pacific,N/A,,,,,,,,
PYF,French Polynesia (France),French Polynesia (France),SIDS,Western Pacific,N/A,,,,,,,,
GUM,Guam (USA),Guam (USA),SIDS,Western Pacific,N/A,,,,,,,,
HKG,Hong Kong SAR (China),Hong Kong SAR (China),Asia,Western Pacific,N/A,,,,,,,,
MAC,Macao SAR (China),Macao SAR (China),Asia,Western Pacific,N/A,,,,,,,,
NCL,New Caledonia (France),New Caledonia (France),SIDS,Western Pacific,N/A,,,,,,,,
MNP,Commonwealth of the Northern Mariana Islands (USA),Commonwealth of the Northern Mariana Islands (USA),SIDS,Western Pacific,N/A,,,,,,,,
PCN,Pitcairn Island (UK),Pitcairn Island (UK),Oceania,Western Pacific,N/A,,,,,,,,
TKL,Tokelau (New Zealand),Tokelau (New Zealand),Oceania,Western Pacific,N/A,,,,,,,,
WLF,Wallis and Futuna (France),Wallis and Futuna (France),Oceania,Western Pacific,N/A,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
